"Название","Автор","Ссылка"
"ПОЧЕМУ WEBASSEMBLY - БУДУЩЕЕ ОБЛАЧНЫХ ВЫЧИСЛЕНИЙ","Манеева С.Р.","https://www.elibrary.ru/item.asp?id=54346709"
"ВЕБ-КЛИЕНТ МОНИТОРИНГА РЕСУРСОВ РВС НА ОСНОВЕ ТЕХНОЛОГИИ WEBASSEMBLY","Ерошенко И.Н.","https://www.elibrary.ru/item.asp?id=47830890"
"МЕТОД СРАВНЕНИЯ ЭФФЕКТИВНОСТИ АЛГОРИТМОВ, РЕАЛИЗОВАННЫХ НА JAVASCRIPT И WEBASSEMBLY","Шиман Д.В., Рябченко Е.С.","https://www.elibrary.ru/item.asp?id=44600470"
"ОДИН МЕТОД ПОВЫШЕНИЯ ПРОИЗВОДИТЕЛЬНОСТИ ВЫЧИСЛЕНИЙ В ВЕБ-БРАУЗЕРЕ","Струнин И.М.","https://www.elibrary.ru/item.asp?id=44237980"
"ИНТЕРНЕТ ТЕХНОЛОГИИ, ИСПОЛЬЗУЮЩИЕСЯ ДЛЯ СОЗДАНИЯ ВЕБ-ПРИЛОЖЕНИЙ ЭЛЕКТРОННЫХ ТОРГОВЫХ ПЛОЩАДОК","Кадыров Р.Р.","https://www.elibrary.ru/item.asp?id=44290051"
"A SURVEY OF IOT SECURITY THREATS AND SOLUTIONS","Radovici A., Serban R., Rusu C.","https://www.elibrary.ru/item.asp?id=39016362"
"ИССЛЕДОВАНИЕ ИМПЛЕМЕНТАЦИИ МЕТОДОВ МАШИННОГО ОБУЧЕНИЯ В ВЕБ","Ковеченков В.О.","https://www.elibrary.ru/item.asp?id=36987010"
"ОПТИМИЗАЦИЯ ТЕХНОЛОГИИ РАСПОЗНАВАНИЯ ДЛЯ ПОТОКОВЫХ ДАННЫХ","Поваляев П.П.","https://www.elibrary.ru/item.asp?id=32538783"
"CAMETRICS: A TOOL FOR ADVANCED COMBINATORIAL ANALYSIS AND MEASUREMENT OF TEST SETS","Leithner M., Kleine K., Simos D.E.","https://www.elibrary.ru/item.asp?id=36174512"
"АНАЛИЗ СОВРЕМЕННЫХ ТЕНДЕНЦИЙ ПРЕДОСТАВЛЕНИЯ ПО НА КЛИЕНТСКИХ УСТРОЙСТВАХ ДЛЯ ФИЗИЧЕСКИХ ЛИЦ","Иванов И.П.","https://www.elibrary.ru/item.asp?id=29399971"
"СИСТЕМА ПОВЕДЕНЧЕСКОГО АНАЛИЗА НА ОСНОВЕ ВИДЕОДАННЫХ","Шека А.С.","https://www.elibrary.ru/item.asp?id=30539308"
